Date Reported,Source Channel,Reporter,Issue Summary,Category,Severity,Volume / Size,Status,Owner,Resolution,Slack Link
2026-05-08,#anz-mobility-commops-xfn,CommOps,"ENFORCER_DEAD_SUPPLY blocking eligible DPs for more than 24 hours - Assistance Animal RGO latency causing DPs with complete requirements to still be blocked.",Driver Experience,High,Multiple DPs,Resolved,,Configuration updated by Eng,https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1778461324347419
2026-05-08,#anz-mobility-commops-xfn,CommOps,"Phone OUs outage - calls not landing. Started ~6AM IST, resolved ~8AM IST. Peak 100+ waiting calls across all OUs/LOBs.",App / Technical,High,100+ calls affected,Resolved,,Queues restored and functioning normally,https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1778212803238379
2026-05-06,#anz-mobility-commops-xfn,CommOps,"NZTA Process Outage - Ops mishandle in NZTA compliance process incorrectly waitlisted eligible NZ drivers. FNL email queue spiked to 200+.",CommOps Process,High,200+ email queue spike,Resolved,,Ops actively worked on fix,https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1778054296534999
2026-05-05,#anz-mobility-commops-xfn,CommOps,"Bliss outage - agents unable to attach trips to contacts across all OUs/LOBs.",App / Technical,High,All OUs/LOBs,Resolved,,"Jira raised GSDFE-422272; resolved",https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1778021523601469
2026-04-25,#anz-mobility-commops-xfn,CommOps,"BUG: 15k expired docs auto-fetched by Eng bug - remediation will cause spike in inflows as affected drivers get waitlisted. ~15k docs impacted in Mobility.",App / Technical,High,"~15,000 docs / drivers",Open,,"Eng remediating; inflow spike expected",https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1777331790356979
2026-05-14,#anz-mobility-commops-xfn,CommOps,"NT drivers unable to upload vehicle regos in-app due to configuration error. Agents manually uploaded docs as workaround.",App / Technical,Medium,NT drivers,Resolved,,CoreOps fixed config error after escalation,https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1778814938617659
2026-05-14,#anz-mobility-commops-xfn,CommOps,"ANZ DFR spike - 5bps spike in defect rate in one week, +12bps over 2 weeks. Mostly from automations, S4 spike under investigation.",Driver Experience,High,Market-wide (+12bps),Open,,"Under investigation by CX and PIR teams",https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1778644055061519
2026-05-27,#anz-mobility-commops-xfn,CommOps,"Cash canary launch (AU: Launceston, Bunbury; NZ: New Plymouth) - cash trips now available in 3 cities. Expect inflows from drivers/riders on cash trip process.",Driver Experience,Low,3 cities,Open,,"Launch complete - monitor for inflows",https://uber.enterprise.slack.com/archives/C0AMUNMTP8U/p1779936908761059
2026-05-28,#anz-mobility-cx-driver,CX Driver,"Driver L2 backlog of 1,700 tickets flagged. Potential SLA impact.",CommOps Process,High,"1,700 ticket backlog",Open,,,https://uber.enterprise.slack.com/archives/C0A6NML9TBQ/p1779325269789579
2026-05-28,#anz-mobility-cx-driver,CX Driver,"Assistance Animal issues - ongoing concerns raised about AAE go-online blockers and whether issues are normalising as expected post-outage.",Driver Experience,Medium,Ongoing monitoring,Open,,,https://uber.enterprise.slack.com/archives/C0A6NML9TBQ/p1779677218053769
2026-05-28,#anz-mobility-cx-driver,CX Driver,"NOVA v3.1 ticket scrubbing session needed - request to organise session with Ops, Mobility CX, Driver Growth and PIR teams end June/early July.",CommOps Process,Low,Process improvement,Open,,,https://uber.enterprise.slack.com/archives/C0A6NML9TBQ/p1779932456265819
2026-05-28,#anz-mobility-cx-driver,CX Driver,"Scammer calls to drivers - drivers being called by scammers pretending to be Uber Support. Online chatter increasing.",Driver Experience,Medium,Market-wide risk,Open,,,https://uber.enterprise.slack.com/archives/C0A6NML9TBQ/p1779083033209409
2026-05-28,#anz-mobility-cx-driver,CX Driver,"DFR spike follow-up - Fare Disputes DR climbing +3bps (0.87%->0.90%) driven by DFR v7 S4 automation.",Payments / Fares,Medium,Market-wide,Open,,,https://uber.enterprise.slack.com/archives/C0A6NML9TBQ/p1779261037763259
2026-04-30,#anz-mobility-cx-driver,CX Driver,"Uber Sticker VOC confusion - online chatter about frequency of uploads and requirements for Trade Dress Sticker. Agents reporting confusion from drivers.",Driver Experience,Medium,Multiple drivers,Open,,,https://uber.enterprise.slack.com/archives/C0A6NML9TBQ/p1777967534156469
2026-04-30,#anz-mobility-cx-driver,CX Driver,test,Driver Experience,Medium,Multiple drivers,Open,,,https://uber.enterprise.slack.com/archives/C0A6NML9TBQ/p1777967534156469
